Moisture_Content,Composting_Decision
709,No
707,No
563,Yes
750,No
432,Yes
742,No
756,No
810,No
556,Yes
818,No
321,Yes
831,No
910,No
287,Yes
857,No
567,Yes
890,No
872,No
643,Yes
980,No
956,No
942,No
135,Yes
931,No
1000,No
1024,No
451,Yes
1016,No
653,Yes
743,No
782,No
511,Yes
770,No
652,Yes
1001,No
651,Yes
850,No
802,No
890,No
510,Yes
872,No
861,No
903,No
409,Yes
950,No
407,Yes
947,No
937,No
451,Yes
921,No
740,No
807,No
456,Yes
853,No
892,No
329,Yes
936,No
990,No
997,No
280,Yes
981,No
976,No
1002,No
1008,No
285,Yes
1021,No
1005,No
987,No
272,Yes
951,No
936,No
735,No
732,No
110,Yes
981,No
731,No
831,No
118,Yes
935,No
945,No
955,No
965,No
91,Yes
1015,No
891,No
