temperature,anomaly
12.34,No
3.56,No
27.89,No
9.12,No
41.23,No
5.67,No
36.78,No
18.9,No
7.54,No
23.45,No
14.67,No
32.89,No
6.78,No
45.67,No
28.9,No
2.34,No
19.78,No
38.9,No
11.23,No
30.45,No
8.9,No
22.56,No
4.56,No
26.78,No
16.9,No
35.12,No
1.23,No
47.89,No
33.45,No
10.56,No
42.34,No
25.67,No
17.34,No
39.12,No
13.45,No
31.78,No
20.12,No
37.56,No
15.67,No
34.78,No
21.34,No
40.56,No
29.23,No
24.56,No
46.78,No
0.45,No
43.12,No
9.87,No
48.9,No
54.23,Yes
59.87,Yes
67.45,Yes
60.56,Yes
72.34,Yes
58.9,Yes
65.78,Yes
70.12,Yes
61.23,Yes
75.67,Yes
64.56,Yes
77.89,Yes
68.9,Yes
63.45,Yes
76.78,Yes
55.67,Yes
73.12,Yes
66.78,Yes
79.23,Yes
57.34,Yes
71.89,Yes
62.56,Yes
58.34,Yes
69.45,Yes
74.56,Yes
56.78,Yes
78.9,Yes
80.34,Yes
84.56,Yes
82.67,Yes
86.78,Yes
88.9,Yes
89.12,Yes
85.23,Yes
81.45,Yes
83.56,Yes
87.89,Yes
91.23,Yes
93.45,Yes
90.12,Yes
92.34,Yes
94.67,Yes
97.89,Yes
99.45,Yes
96.78,Yes
98.9,Yes
95.67,Yes
100,Yes
